Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Si(2018)	Si(2018)_EA1	6	6	1397.94	89.25		1368.94	85.46	
Si(2018)	Si(2018)_EA2	6	6	1397.94	89.25		1411.66	1108.31	
Si(2018)	Si(2018)_EA3	6	6	1397.94	89.25		456.79	36.14	
Si(2018)	Si(2018)_EA4	6	6	1397.94	89.25		442.91	23.17	
Wang(2019)	Wang(2019)_EA	7	7	438.2142857	42.40792419		420.4221429	42.33651309	
Wei(2019)	Wei(2019)_EA	12	13	353.7170264	107.9935755	31.17505995	358.5131894	69.17124749	19.18465228
Wei(2019)	Wei(2019)_MOX	12	12	353.7170264	107.9935755	31.17505995	383.6930456	112.1471746	32.37410072
Chen(2020)	Chen(2020)_MOX	9	9	450.94	19.11		447.58	32.02	
Shen(2020)	Shen(2020)_EA	6	6	1050.4783	141.9394		1308.0183	75.8283	
Han(2021)	Han(2021)_MA	8	8	342.7083333	67.76439986	23.95833333	320.8333333	58.9255651	20.83333333
Han(2021)	Han(2021)_EA	8	8	342.7083333	67.76439986	23.95833333	358.3333333	26.51650429	9.375
Wang(2021)	Wang(2021)_EA	29	29	304	67		280	66	
