Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Si(2018)	Si(2018)_EA1	6	6	1353	91.24		1329.48	88.23	
Si(2018)	Si(2018)_EA2	6	6	1353	91.24		1470.95	117.28	
Si(2018)	Si(2018)_EA3	6	6	1353	91.24		451.1	65.32	
Si(2018)	Si(2018)_EA4	6	6	1353	91.24		438.82	57.15	
Wei(2019)	Wei(2019)_EA	12	13	335.2803738	93.07749667	26.86915888	341.1214953	80.02975962	22.19626168
Wei(2019)	Wei(2019)_MOX	12	12	335.2803738	93.07749667	26.86915888	369.1588785	113.3117351	32.71028037
Chen(2020)	Chen(2020)_MOX	9	9	458.5	22.47		450.73	30.93	
Wang(2020)	Wang(2020)_EA1	12	12	365.3631285	133.5324086	38.54748603	491.0614525	87.08635345	25.1396648
Wang(2020)	Wang(2020)_EA2	12	12	365.3631285	133.5324086	38.54748603	504.4692737	40.64029828	11.73184358
Xie(2020)	Xie(2020)_EA1	6	6	318.8405797			379.2270531		
Xie(2020)	Xie(2020)_EA2	6	6	318.8405797			770.531401		
Xie(2020)	Xie(2020)_EA3	6	6	318.8405797			743.9613527		
Wang(2021)	Wang(2021)_EA	29	29	297.8494624	76.34408602		273.1182796	66.66666667	
