Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Si(2018)	Si(2018)_EA1	6	6	1198.33	48.26		1187.67	55.24	
Si(2018)	Si(2018)_EA2	6	6	1198.33	48.26		1205	101.38	
Si(2018)	Si(2018)_EA3	6	6	1198.33	48.26		419.33	62.12	
Si(2018)	Si(2018)_EA4	6	6	1198.33	48.26		391.33	31.23	
He(2019)	He(2019)_MOX1	6	6	1782.80543	188.4222879	76.92307692	1511.312217	88.66931196	36.19909502
He(2019)	He(2019)_MOX2	6	6	1782.80543	188.4222879	76.92307692	1737.556561	177.3386239	72.39819005
Jin(2020)	Jin(2020)_EA	12	12	376.0330579	194.214876		640.4958678	570.2479339	
Xie(2020)	Xie(2020)_EA1	6	6	269.816273			311.8110236		
Xie(2020)	Xie(2020)_EA2	6	6	269.816273			677.1653543		
Xie(2020)	Xie(2020)_EA3	6	6	269.816273			643.5695538		
