Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Qi(2018)	Qi(2018)_MOX1	10	10	5.78708134			5.78708134		
Qi(2018)	Qi(2018)_MOX2	10	10	5.78708134			5.78708134		
Qi(2018)	Qi(2018)_MOX3	10	10	6.11722488			5.629186603		
Qi(2018)	Qi(2018)_MOX4	10	10	6.11722488			6.339712919		
Si(2018)	Si(2018)_EA1	6	6	6.62	0.84		7.04	0.63	
Si(2018)	Si(2018)_EA2	6	6	6.62	0.84		6.92	0.57	
Si(2018)	Si(2018)_EA3	6	6	6.62	0.84		6.19	0.11	
Si(2018)	Si(2018)_EA4	6	6	6.62	0.84		6.07	0.28	
Wei(2019)	Wei(2019)_EA	12	13	3.758782201	1.216897523	0.3512880562	3.887587822	1.013269679	0.281030445
Wei(2019)	Wei(2019)_MOX	12	12	3.758782201	1.216897523	0.3512880562	3.946135831	0.7707017645	0.2224824356
Chen(2020)	Chen(2020)_MOX	9	9	4.4	0.05		4.12	0.31	
Li(2020)	Li(2020)_MOX	10	10	4.118421053	0.3552631579		4.763157895	0.2368421053	
Song(2020)	Song(2020)_EA	10	10	2.404661017			3.644067797		
Xie(2020)	Xie(2020)_EA1	6	6	3.615384615			3.215384615		
Xie(2020)	Xie(2020)_EA2	6	6	3.615384615			6.123076923		
Xie(2020)	Xie(2020)_EA3	6	6	3.615384615			6.4		
Wang(2021)	Wang(2021)_EA	29	29	3.131313131	0.8585858586		3.202020202	0.5353535354	
