Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Si(2018)	Si(2018)_EA1	6	6	0.95	0.1		0.98	0.06	
Si(2018)	Si(2018)_EA2	6	6	0.95	0.1		0.97	0.04	
Si(2018)	Si(2018)_EA3	6	6	0.95	0.1		0.97	0.02	
Si(2018)	Si(2018)_EA4	6	6	0.95	0.1		0.96	0.11	
Wang(2018)	Wang(2018)_MOX	11	11	0.9554421769			0.9418367347		
Wang(2018)	Wang(2018)_EA	11	10	0.9554421769			0.9506802721		
Chen(2020)	Chen(2020)_MOX	9	9	0.03	0.01		0.05	0.02	
Shen(2020)	Shen(2020)_EA	6	6	0.9548	0.0276		0.9768	0.0082	
Song(2020)	Song(2020)_EA	10	10	0.28583878			0.1185185185		
Xie(2020)	Xie(2020)_EA1	6	6	0.7295081967			0.6106557377		
Xie(2020)	Xie(2020)_EA2	6	6	0.7295081967			0.9073770492		
Xie(2020)	Xie(2020)_EA3	6	6	0.7295081967			0.9270491803		
Han(2021)	Han(2021)_MA	8	8	0.06757425743	0.05880888081	0.02079207921	0.1888613861	0.1592740522	0.05631188119
Han(2021)	Han(2021)_EA	8	8	0.06757425743	0.05880888081	0.02079207921	0.06237623762	0.02940444041	0.0103960396
Wang(2021)	Wang(2021)_EA	29	29	0.2833675565	0.1252566735		0.2525667351	0.04722792608	
