id	c_F	c_B	c_FB	i_F	i_B	i_FB
Wang(2018)_MOX	0.233035	0.709599	0.3284037886	0.3154	0.557828	0.5654072582
Wang(2018)_EA	0.233035	0.709599	0.3284037886	0.300156	0.567647	0.5287722828
He(2019)_MOX1			1.502463054			2.078817734
He(2019)_MOX2			1.502463054			1.699507389
Wang(2019)_EA	62.28571429	26.85714286	2.319148936	44.38095238	47.23809524	0.939516129
Chen(2020)_MOX	61.29032258	32.04301075	1.912751678	75.69892473	18.70967742	4.045977011
Jang(2020)_MA	10.87786	74.42748	0.1461538131	21.94656	73.0916	0.3002610423
Jin(2020)_EA	39.44223108	53.58565737	0.7360594796	22.90836653	71.71314741	0.3194444444
Liu(2020)_EA	88.84	0.56	158.6428571	54.2	1.32	41.06060606
Wang(2020)_EA1	1.873401535	0.5188235294	3.610864636	0.7800511509	1.090588235	0.7152572581
Wang(2020)_EA2	1.873401535	0.5188235294	3.610864636	0.6202046036	1.189411765	0.521438094
Xie(2020)_EA1	67.69716088	5.617977528	12.05009464	29.0851735	3.146067416	9.244930149
Xie(2020)_EA2	67.69716088	5.617977528	12.05009464	40.18927445	13.5483871	2.966351209
Xie(2020)_EA3	67.69716088	5.617977528	12.05009464	89.65299685	6.06741573	14.77614207
Xu(2020)_MA	0.5044854881	0.410326087	1.229474567	0.4137203166	0.5423913043	0.7627709244
Wang(2021)_EA	82.73809524	6.547619048	12.63636364	70.63492063	11.50793651	6.137931034
