Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Xu(2013)	Xu(2013)_MA1	15	15	29.85	7.3		14.92	2.85	
Xu(2013)	Xu(2013)_MA2	15	15	32.51	9.37		16.35	4.22	
Wang(2018)	Wang(2018)_MOX	11	11	0.048057			0.05194		
Wang(2018)	Wang(2018)_EA	11	10	0.048057			0.03162		
Wang(2019)	Wang(2019)_EA	7	7	0.03187251			0.003984064		
Wei(2019)	Wei(2019)_EA	12	13	11.22			15.96		
Wei(2019)	Wei(2019)_MOX	12	12	11.22			10.99		
Jang(2020)	Jang(2020)_MA	10	9	19.8514	12.2601		6.4734	1.9801	
Jin(2020)	Jin(2020)_EA	12	12	1.4749499			6.79759519		
Li(2020)	Li(2020)_MOX	10	10	32.94117647			5.882352941		
Xu(2020)	Xu(2020)_MA	10	10	0.06324786325	0.05405602838	0.01709401709	0.1008547009	0.05225416077	0.01652421652
Han(2021)	Han(2021)_MA	8	8	1.983002833			0.7932011331		
Han(2021)	Han(2021)_EA	8	8	1.983002833			6.841359773		
Wang(2021)	Wang(2021)_EA	29	29	4.93			8.32		
