Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Wang(2012)	Wang(2012)_MOX	10	10	1500	1400		39500	32500	
Xu(2013)	Xu(2013)_MA1	15	15	2.86	0.58		4.97	0.36	
Xu(2013)	Xu(2013)_MA2	15	15	2.13	0.98		5.37	0.25	
Wang(2018)	Wang(2018)_MOX	11	11	0.015176			0.033913		
Wang(2018)	Wang(2018)_EA	11	10	0.015176			0.016477		
Bao(2019)	Bao(2019)_MOX	10	10	8.378378378	0.3742203742		8.69022869	0.2494802495	
Huang(2019)	Huang(2019)_EA	48	56	6.67	1.36		9.63	1.37	
Wang(2019)	Wang(2019)_EA	7	7	0.106574			0.027888446		
Wei(2019)	Wei(2019)_EA	12	13	2.25			8.61		
Wei(2019)	Wei(2019)_MOX	12	12	2.25			12.35		
Chen(2020)	Chen(2020)_MOX	9	9	3.164556962			9.915611814		
Li(2020)	Li(2020)_MOX	10	10	3.884210526	1.010526316		7.894736842	2.052631579	
Liu(2020)	Liu(2020)_EA	6	6	0.5791505792			16.98841699		
Xie(2020)	Xie(2020)_EA1	6	6	1.647058824	0.3529411765		10.47058824	8.823529412	
Xie(2020)	Xie(2020)_EA2	6	6	1.647058824	0.3529411765		17.17647059	1.058823529	
Xie(2020)	Xie(2020)_EA3	6	6	1.647058824	0.3529411765		66.94117647	7.058823529	
Xu(2020)	Xu(2020)_MA	10	10	0.1322580645	0.08067981127	0.02551319648	0.1014662757	0.06676949898	0.0211143695
Han(2021)	Han(2021)_MA	8	8	8.328611898			5.45325779		
Han(2021)	Han(2021)_EA	8	8	8.328611898			23.89518414		
