Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Wang(2018)	Wang(2018)_MOX	11	11	0.002292			0.006161		
Wang(2018)	Wang(2018)_EA	11	10	0.002292			0.011761		
Jang(2020)	Jang(2020)_MA	10	9	0.6363			0.053		
Jin(2020)	Jin(2020)_EA	12	12	2.050955414			1.133757962		
Xie(2020)	Xie(2020)_EA1	6	6	0.1216216216	0.02702702703		0.1689189189	0.1148648649	
Xie(2020)	Xie(2020)_EA2	6	6	0.1216216216	0.02702702703		0.3581081081	0.1621621622	
Xie(2020)	Xie(2020)_EA3	6	6	0.1216216216	0.02702702703		0.9411764706	0.7058823529	
Xu(2020)	Xu(2020)_MA	10	10	0.0005928143713	0.001363377195	0.0004311377246	0.003251497006	0.005055857097	0.001598802395
Han(2021)	Han(2021)_MA	8	8	1.090651558			0.1983002833		
Han(2021)	Han(2021)_EA	8	8	1.090651558			1.685552408		
