Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Wang(2018)	Wang(2018)_MOX	11	11	0.709599			0.557828		
Wang(2018)	Wang(2018)_EA	11	10	0.709599			0.567647		
Wang(2019)	Wang(2019)_EA	7	7	26.85714286	8.380952381		47.23809524	11.04761905	
Chen(2020)	Chen(2020)_MOX	9	9	32.04301075			18.70967742		
Jang(2020)	Jang(2020)_MA	10	9	74.42748			73.0916		
Jin(2020)	Jin(2020)_EA	12	12	53.58565737			71.71314741		
Liu(2020)	Liu(2020)_EA	6	6	0.56	0.8083316151	0.33	1.32	1.959591794	0.8
Wang(2020)	Wang(2020)_EA1	12	12	0.5188235294	0.4034659528	0.1164705882	1.090588235	0.06113120497	0.01764705882
Wang(2020)	Wang(2020)_EA2	12	12	0.5188235294	0.4034659528	0.1164705882	1.189411765	0.1222624099	0.03529411765
Xie(2020)	Xie(2020)_EA1	6	6	5.617977528	1.123595506		3.146067416	4.157303371	
Xie(2020)	Xie(2020)_EA2	6	6	5.617977528	1.123595506		13.5483871	7.311827957	
Xie(2020)	Xie(2020)_EA3	6	6	5.617977528	1.123595506		6.06741573	1.011235955	
Xu(2020)	Xu(2020)_MA	10	10	0.410326087			0.5423913043		
Wang(2021)	Wang(2021)_EA	29	29	6.547619048	7.936507937		11.50793651	14.88095238	
