Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Wang(2018)	Wang(2018)_MOX	11	11	0.233035			0.3154		
Wang(2018)	Wang(2018)_EA	11	10	0.233035			0.300156		
Wang(2019)	Wang(2019)_EA	7	7	62.28571429	11.42857143		44.38095238	9.142857143	
Chen(2020)	Chen(2020)_MOX	9	9	61.29032258			75.69892473		
Jang(2020)	Jang(2020)_MA	10	9	10.87786			21.94656		
Jin(2020)	Jin(2020)_EA	12	12	39.44223108			22.90836653		
Liu(2020)	Liu(2020)_EA	6	6	88.84	9.381545715	3.83	54.2	32.60270848	13.31
Wang(2020)	Wang(2020)_EA1	12	12	1.873401535	0.6201716447	0.179028133	0.7800511509	0.1550429112	0.04475703325
Wang(2020)	Wang(2020)_EA2	12	12	1.873401535	0.6201716447	0.179028133	0.6202046036	0.3322348096	0.09590792839
Xie(2020)	Xie(2020)_EA1	6	6	67.69716088	3.533123028		29.0851735	7.318611987	
Xie(2020)	Xie(2020)_EA2	6	6	67.69716088	3.533123028		40.18927445	6.561514196	
Xie(2020)	Xie(2020)_EA3	6	6	67.69716088	3.533123028		89.65299685	2.523659306	
Xu(2020)	Xu(2020)_MA	10	10	0.5044854881			0.4137203166		
Wang(2021)	Wang(2021)_EA	29	29	82.73809524	14.68253968		70.63492063	22.42063492	
