Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Wang(2018)	Wang(2018)_MOX	11	11	0.049197			0.110682		
Wang(2018)	Wang(2018)_EA	11	10	0.049197			0.070945		
Wang(2019)	Wang(2019)_EA	7	7	6.666666667	10.47619048		1.904761905	3.238095238	
Chen(2020)	Chen(2020)_MOX	9	9	3.010752688			1.935483871		
Jang(2020)	Jang(2020)_MA	10	9	7.633588			0.572519084		
Jin(2020)	Jin(2020)_EA	12	12	4.581673307			3.984063745		
Wang(2020)	Wang(2020)_EA1	12	12	2.762886598	0.999946858	0.2886597938	0.381443299	0.2499867145	0.07216494845
Wang(2020)	Wang(2020)_EA2	12	12	2.762886598	0.999946858	0.2886597938	0.8350515464	0.7142477557	0.206185567
Xie(2020)	Xie(2020)_EA1	6	6	7.191011236	2.134831461		65.59139785	3.440860215	
Xie(2020)	Xie(2020)_EA2	6	6	7.191011236	2.134831461		40.64516129	1.290322581	
Xie(2020)	Xie(2020)_EA3	6	6	7.191011236	2.134831461		1.460674157	1.011235955	
Xu(2020)	Xu(2020)_MA	10	10	1.117318436			2.048417132		
Wang(2021)	Wang(2021)_EA	29	29	3.605015674			12.06896552		
